Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_4222,21198314,SA_BST_A_TF_4222_Eu Tong Sen Street_Clarke Quay MRT Station Exit E,1.28899,103.84709,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_4222_A,SA_BST_4222_A,Clarke Quay,10,All / Universal,1,0,59817,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_B_PF_4222,21198315,SA_BST_B_PF_4222_Eu Tong Sen Street_Clarke Quay MRT Station Exit E,1.28899,103.84708,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_4222_B,SA_BST_4222_B,Clarke Quay,10,All / Universal,1,1,59818,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_5419,21198316,SA_BST_A_TF_5419_Tanjong Pagar Road_The Amara,1.27486,103.84322,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5419_A,SA_BST_5419_A,Anson,10,All / Universal,1,0,79027,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_3539,21198319,SA_BST_A_TF_3539_Central Boulevard_Marina Bay Station,1.2775,103.85564,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3539_A,SA_BST_3539_A,Central Subzone,10,All / Universal,1,0,18926,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_5129,21198320,SA_BST_A_TF_5129_Upper Pickering Street_Opposite One Pickering,1.28609,103.8463,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5129_A,SA_BST_5129_A,Boat Quay,10,All / Universal,1,0,58284,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_5651,21198321,SA_BST_A_TF_5651_Tanjong Pagar Road_Opposite Fuji Xerox Towers,1.27325,103.84307,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5651_A,SA_BST_5651_A,Anson,10,All / Universal,1,0,89057,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_B-Parallel_PF_2169,21198339,SA_BST_B-Parallel_PF_2169_Temasek Avenue_Promenade MRT Station Exit B,1.29327,103.86065,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_2169_B-Parallel,SA_BST_2169_B-Parallel,Marina Centre,10,All / Universal,1,1,39190,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_3511,21198340,SA_BST_C_TF_3511_Bayfront Avenue_After Bayfront Station Exit E,1.28194,103.85893,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3511_C,SA_BST_3511_C,Bayfront Subzone,10,All / Universal,1,0,18957,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C-Parallel_TF_3391,21198353,SA_BST_C-Parallel_TF_3391_Marina Bay Financial Ctr_Marina Blvd,1.2803,103.85515,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3391_C-Parallel,SA_BST_3391_C-Parallel,Central Subzone,10,All / Universal,1,0,18980,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_3111,21198354,SA_BST_A_TF_3111_Robinson Road_After Capital Tower,1.27788,103.84812,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3111_A,SA_BST_3111_A,Cecil,10,All / Universal,1,0,68909,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_B_PF_3111,21198355,SA_BST_B_PF_3111_Robinson Road_After Capital Tower,1.27788,103.84811,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3111_B,SA_BST_3111_B,Cecil,10,All / Universal,1,1,68909,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_3509,21198399,SA_BST_A_TF_3509_Bayfront Ave_Bayfront Stn Exit B/MBS,1.28321,103.8601,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3509_A,SA_BST_3509_A,Bayfront Subzone,10,All / Universal,1,0,18971,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_3129,21198408,SA_BST_A_TF_3129_Shenton Way_UIC Building,1.2779,103.84965,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3129_A,SA_BST_3129_A,Cecil,10,All / Universal,1,0,68808,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_5059,21198409,SA_BST_A_TF_5059_New Bridge Rd_Hong Lim Pk,1.2867,103.84574,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5059_A,SA_BST_5059_A,Boat Quay,10,All / Universal,1,0,58284,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_3501,21198425,SA_BST_C_TF_3501_Bayfront Ave_Marina Bay Sands Theatre,1.28515,103.86061,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3501_C,SA_BST_3501_C,Bayfront Subzone,10,All / Universal,1,0,18971,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_2161,21198426,SA_BST_C_TF_2161_Temasek Ave_Aft Promenade Stn Exit C,1.29281,103.86094,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_2161_C,SA_BST_2161_C,Marina Centre,10,All / Universal,1,0,39194,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_2119,21198427,SA_BST_C_TF_2119_Nicoll Highway_Opp War Memorial Pk,1.29188,103.85534,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_2119_C,SA_BST_2119_C,Marina Centre,10,All / Universal,1,0,39393,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_2101,21198434,SA_BST_C_TF_2101_Raffles Ave_Aft S'pore Flyer,1.28935,103.86191,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_2101_C,SA_BST_2101_C,Marina Centre,10,All / Universal,1,0,39803,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_2159,21198435,SA_BST_C_TF_2159_Temasek Blvd_Opp Suntec Convention Ctr,1.29353,103.85838,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_2159_C,SA_BST_2159_C,Marina Centre,10,All / Universal,1,0,38982,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_3371,21198452,SA_BST_A_TF_3371_Marina Gdns Dr_Gdns by the Bay,1.2807,103.86672,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3371_A,SA_BST_3371_A,Marina South,10,All / Universal,1,0,18953,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_2171,21325571,SA_BST_A_TF_2171_Temasek Ave_Opp The Ritz-Carlton,1.29074,103.86097,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_2171_A,SA_BST_2171_A,Marina Centre,10,All / Universal,1,0,39799,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_3381,21325607,SA_BST_C_TF_3381_Marina Boulevard_The Sail,1.28166,103.85303,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_3381_C,SA_BST_3381_C,Central Subzone,10,All / Universal,1,0,48583,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6071,21208931,DTL_Bayfront _ Concourse_1 (DTL-BFT-C1),1.281371,103.858998,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6071,Bayfront Subzone,Central Region,15,All / Universal,1,1,18957,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6075,21208932,DTL_Beauty World _ Concourse_1 (DTL-BTW-C1),1.341104,103.775834,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6075,Anak Bukit,Central Region,15,All / Universal,1,1,588216,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6023,21208935,DTL_Bencoolen _ Concourse_1 (DTL-BCL-C1),1.298402,103.850206,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6023,Bras Basah,Central Region,15,All / Universal,1,1,189554,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6050,21208936,DTL_Bencoolen _ Linkway_1 (DTL-BCL-L1),1.298402,103.850206,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6050,Bras Basah,Central Region,15,All / Universal,1,1,189554,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6094,21208937,DTL_Bendemeer _ Concourse_1 (DTL-BDM-C1),1.313735,103.863015,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6094,Kallang Bahru,Central Region,15,All / Universal,1,1,339356,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6026,21208938,DTL_Botanic Garden _ Concourse_1 (DTL-BTN-C1),1.322412,103.815138,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6026,Tyersall,Central Region,15,All / Universal,1,1,257494,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6081,21208939,DTL_Bugis _ Concourse_1 (DTL-BGS-C1),1.300204,103.856156,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6081,Bugis,Central Region,15,All / Universal,1,1,188024,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6030,21208940,DTL_Bugis _ Platform_1 (DTL-BGS-P1),1.300204,103.856156,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6030,Bugis,Central Region,15,All / Universal,1,1,188024,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6046,21208944,DTL_Chinatown _ Concourse_1 (DTL-CNT-C1),1.285081,103.843843,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6046,Pearl'S Hill,Central Region,15,All / Universal,1,1,58357,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6054,21208945,DTL_Chinatown _ Concourse_2 (DTL-CNT-C2),1.285081,103.843843,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6054,Pearl'S Hill,Central Region,15,All / Universal,1,1,58357,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6035,21208946,DTL-DTN-C1,1.279571,103.852828,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6035,Central Subzone,Central Region,15,All / Universal,1,1,18969,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6064,21208947,DTL-DTN-C2,1.279571,103.852828,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6064,Central Subzone,Central Region,15,All / Universal,1,1,18969,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6082,21208950,DTL_Fort Canning _ Concourse_1 (DTL-FCN-C1),1.292468,103.844273,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6082,Clarke Quay,Central Region,15,All / Universal,1,1,179038,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6053,21208951,DTL_Geylang Bahru _ Mezzanine_1 (DTL-GLB-M1),1.321475,103.871632,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6053,Geylang Bahru,Central Region,15,All / Universal,1,1,339355,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6061,21208953,DTL_Jalan Besar _ Concourse_1 (DTL-JLB-C1),1.305059,103.855294,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6061,Sungei Road,Central Region,15,All / Universal,1,1,208826,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6122,21208955,DTL_King Albert _ Concourse_1 (DTL-KAP-C1),1.335685,103.783227,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6122,Holland Road,Central Region,15,All / Universal,1,1,599987,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6021,21208956,DTL_Little India _ Concourse_1 (DTL-LTI-C1),1.306306,103.848627,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6021,Mackenzie,Central Region,15,All / Universal,1,1,228687,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6108,21208957,DTL_Little India _ Linkway_1 (DTL-LTI-L1),1.306306,103.848627,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6108,Mackenzie,Central Region,15,All / Universal,1,1,228687,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6031,21208958,DTL_Macpherson _ Concourse_1 (DTL-MPS-C1),1.326525,103.889188,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6031,Macpherson,Central Region,15,All / Universal,1,1,378956,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6028,21208959,DTL_Macpherson _ Concourse_2 (DTL-MPS-C2),1.326525,103.889188,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6028,Macpherson,Central Region,15,All / Universal,1,1,378956,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6083,21208960,DTL_Mattar _ Concourse_1 (DTL-MTR-C1),1.326849,103.883302,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6083,Macpherson,Central Region,15,All / Universal,1,1,379314,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6073,21208961,DTL_Newton _ Concourse_1 (DTL-NEW-C1),1.313597,103.838309,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6073,Newton Circus,Central Region,15,All / Universal,1,1,229901,SG Breakdown B1
Transit > Train Stations > Train,Moove Media SG,ds6074,21208962,DTL_Newton _ Mezzanine_1 (DTL-NEW-M1),1.313597,103.838309,2160,3840,1,2160 x 3840,0.5625,Portrait,ds6074,Newton Circus,Central Region,15,All / Universal,1,1,229901,SG Breakdown B1
