Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_9212,21325563,SA_BST_A_TF_9212_Scotts Rd_Royal Plaza On Scotts,1.30699,103.83263,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_9212_A,SA_BST_9212_A,Boulevard,10,All / Universal,Yes,No,228220,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_9212,21325564,SA_BST_C_TF_9212_Scotts Rd_Royal Plaza On Scotts,1.30699,103.83263,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_9212_C,SA_BST_9212_C,Boulevard,10,All / Universal,Yes,No,228220,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_D_PF_9212,21325565,SA_BST_D_PF_9212_Scotts Rd_Royal Plaza On Scotts,1.30699,103.83263,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_9212_D,SA_BST_9212_D,Boulevard,10,All / Universal,Yes,No,228220,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_8137,21325566,SA_BST_A_TF_8137_Orchard Rd_Orchard Plaza,1.30074,103.841,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_8137_A,SA_BST_8137_A,Somerset,10,All / Universal,Yes,No,238841,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_8137,21325567,SA_BST_C_TF_8137_Orchard Rd_Orchard Plaza,1.30074,103.841,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_8137_C,SA_BST_8137_C,Somerset,10,All / Universal,Yes,No,238841,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_82111,21325570,SA_BST_A_TF_82111_Tanjong Katong Rd_Opp Tg Katong Cplx,1.3161,103.89382,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_82111_A,SA_BST_82111_A,Geylang East,10,All / Universal,Yes,No,437161,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_2171,21325571,SA_BST_A_TF_2171_Temasek Ave_Opp The Ritz-Carlton,1.29074,103.86097,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_2171_A,SA_BST_2171_A,Marina Centre,10,All / Universal,Yes,No,39799,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_9219,21325572,SA_BST_A_TF_9219_Scotts Rd_Far East Plaza,1.30732,103.83319,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_9219_A,SA_BST_9219_A,Boulevard,10,All / Universal,Yes,No,228213,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_B_PF_9219,21325573,SA_BST_B_PF_9219_Scotts Rd_Far East Plaza,1.30732,103.83319,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_9219_B,SA_BST_9219_B,Boulevard,10,All / Universal,Yes,No,228213,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_9219,21325574,SA_BST_C_TF_9219_Scotts Rd_Far East Plaza,1.30732,103.83319,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_9219_C,SA_BST_9219_C,Boulevard,10,All / Universal,Yes,No,228213,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_D_PF_9219,21325575,SA_BST_D_PF_9219_Scotts Rd_Far East Plaza,1.30732,103.83319,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_9219_D,SA_BST_9219_D,Boulevard,10,All / Universal,Yes,No,228213,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_75051,21325578,SA_BST_A_TF_75051_Tampines Ave 1_Tampines West Stn Exit B,1.34503,103.94007,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_75051_A,SA_BST_75051_A,Tampines West,10,All / Universal,Yes,No,520934,Singapore
