Venue Info,Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
JCD HKIA,HKG-T1-Skybridge,JCDeaux HKIA,8007SBD14,8007SBD14,HKG-T1-Skybridge,22.31394106,113.9252099,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L1,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-Skybridge,JCDeaux HKIA,8009SBA03,8009SBA03,HKG-T1-Skybridge,22.31394106,113.9252099,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L1,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-Skybridge,JCDeaux HKIA,8009SBD11,8009SBD11,HKG-T1-Skybridge,22.31394106,113.9252099,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L1,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-Skybridge,JCDeaux HKIA,8009SBD12,8009SBD12,HKG-T1-Skybridge,22.31394106,113.9252099,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L1,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-Skybridge,JCDeaux HKIA,8009SBD13,8009SBD13,HKG-T1-Skybridge,22.31394106,113.9252099,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L1,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-A,JCDeaux HKIA,8405MD401,8405MD401,HKG-T1-MFC-A,22.312767,113.916844,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L5,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-A,JCDeaux HKIA,8405MD402,8405MD402,HKG-T1-MFC-A,22.312244,113.917006,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L5,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-A,JCDeaux HKIA,8405MD403,8405MD403,HKG-T1-MFC-A,22.311637,113.917237,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L5,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-A,JCDeaux HKIA,8405MD404,8405MD404,HKG-T1-MFC-A,22.31103,113.917429,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L5,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD HKIA,HKG-T1-MFC-A,JCDeaux HKIA,8405MD405,8405MD405,HKG-T1-MFC-A,22.309323,113.918145,1080,1920,1,1080x1920,09:16,,Arrival_MFC_L5,Hong Kong,Asia/Hong_Kong,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
